index,score,label
22686,0.873008009138025,-1
23032,0.872970893742659,-1
23137,0.8729226437286663,-1
27870,0.8728818167937299,-1
27700,0.8728736514067679,-1
1676,0.8728134045302618,-1
23247,0.8727229629015448,-1
25196,0.8727125705908237,-1
22936,0.8727110859750548,-1
23143,0.8723963474222229,-1
23074,0.8723495820240414,-1
27634,0.8723325089422119,-1
22122,0.872296878162636,-1
22789,0.8722783204649742,-1
27702,0.872187016592286,-1
25240,0.8719895626889239,-1
22787,0.8718730203474442,-1
27976,0.8718284818729798,-1
21380,0.8717965626329742,-1
27223,0.8717958203250474,-1
27204,0.8717453433873801,-1
22785,0.8717022895287269,-1
23223,0.8715938294732533,-1
1202,0.8715731279528146,-1
23141,0.8715085471648928,-1
26910,0.8714343163740763,-1
22934,0.8714172432922047,-1
22516,0.8713452394252318,-1
21486,0.8712895663321617,-1
23254,0.8712435432418648,-1
25198,0.8712376047786619,-1
26360,0.8711448162901626,-1
27577,0.87112106243714,-1
23196,0.8710594508808039,-1
23251,0.8710171393300985,-1
25269,0.870881296982988,-1
26369,0.8708731315960683,-1
1223,0.8707840546471394,-1
1055,0.8707818277234145,-1
25275,0.8705992199781727,-1
22709,0.8705361238060252,-1
23139,0.870445562241285,-1
22699,0.8704025083826739,-1
27575,0.8703238237445081,-1
27984,0.8702800275779492,-1
1204,0.8701902083211305,-1
25277,0.8701798160103935,-1
22990,0.8701449275387867,-1
26229,0.8698769543841361,-1
61,0.8697151312603287,-1
26480,0.8695481119811393,-1
23043,0.8695421735178943,-1
23180,0.8695362350546071,-1
26484,0.8695184196648298,-1
27868,0.8694709119587426,-1
21719,0.8694568081085146,-1
23268,0.8694538388768711,-1
27192,0.8694263734843205,-1
1689,0.869401544440257,-1
26783,0.8693454619223955,-1
25282,0.8693142849902745,-1
22450,0.8691534018935643,-1
1521,0.8691517195585298,-1
22976,0.8689030464095416,-1
253,0.8688674156299566,-1
25179,0.8687174694326273,-1
23168,0.8685341193795143,-1
25177,0.8684947770603892,-1
977,0.868415350114286,-1
22316,0.868383430874249,-1
1525,0.8683663577923983,-1
25271,0.8682891577699805,-1
23060,0.8682029937198074,-1
975,0.8681243654145425,-1
27213,0.8680931884824296,-1
27215,0.8680597846265917,-1
26367,0.8680545884712524,-1
1464,0.8680323192340148,-1
27991,0.8680041115335007,-1
27878,0.8679608741720359,-1
26225,0.8679484384404514,-1
27573,0.8678845999603985,-1
27965,0.8678563922599422,-1
22468,0.8678348653305945,-1
1470,0.8677339114551964,-1
22529,0.8676782383621264,-1
1758,0.8676158844979057,-1
1126,0.8675290344727198,-1
22974,0.8674525767582657,-1
23135,0.8674295652131068,-1
1523,0.867296692097682,-1
21389,0.8672959497897765,-1
27225,0.8672647728576767,-1
27173,0.8672505831206613,-1
1237,0.867197222838069,-1
1206,0.867070288185884,-1
1532,0.8670250074035246,-1
22353,0.8669687897217826,-1
21393,0.866927022759749,-1
22518,0.8669025265987998,-1
23210,0.8668441649034754,-1
23198,0.8668141919577764,-1
22302,0.8667934073363766,-1
21708,0.8667869165497796,-1
3023,0.8667355510179677,-1
74,0.8667310534721533,-1
26957,0.8667060055736653,-1
1030,0.8666516265260501,-1
21382,0.8666078303595044,-1
26488,0.8665966957408778,-1
322,0.8665432495715563,-1
23211,0.8665387957241117,-1
992,0.8664341303091513,-1
22310,0.8664022110691381,-1
26772,0.8663999841454212,-1
1028,0.8663480225918817,-1
25194,0.8663324341258398,-1
27750,0.8663019995016246,-1
25175,0.8662106956290208,-1
27190,0.8661706110019901,-1
25273,0.8661015763665976,-1
21397,0.8660251186521064,-1
1468,0.8658981839999321,-1
21387,0.8658291493645343,-1
1357,0.8656109108397246,-1
21488,0.8655611762099259,-1
21877,0.8652211991883025,-1
1466,0.8652115491854873,-1
27748,0.8651640414794212,-1
1233,0.8650905529965685,-1
268,0.8649695568076419,-1
27704,0.8648262913814725,-1
26212,0.864743152895873,-1
210,0.8646615576303344,-1
23213,0.8646060236521428,-1
22711,0.8645323374501249,-1
24736,0.864466272046355,-1
214,0.8644636332381738,-1
21490,0.8643348835467415,-1
1042,0.8643178104648488,-1
26231,0.8642673335271391,-1
25347,0.8641982988917466,-1
1502,0.8631990325122424,-1
9,0.8629790861813836,-1
27185,0.8629706763134636,-1
21411,0.8626492303254467,-1
971,0.8624197291453582,-1
24451,0.8620424119030271,-1
24999,0.8620424119030271,-1
24061,0.8620424119030271,-1
1656,0.8612403851434971,-1
16800,0.8609758904325954,-1
16781,0.8609447135004744,-1
16807,0.8608957211785973,-1
1496,0.8605097084255778,-1
26989,0.8600983881393743,-1
879,0.8597550038955932,-1
15,0.8594925969152915,-1
1456,0.859266405154269,-1
205,0.8592520980701663,-1
994,0.8589902964399119,-1
33,0.8589197473614655,-1
22269,0.8586584848052503,-1
1309,0.8586255748323144,-1
22695,0.8585307780178995,-1
1198,0.8584365049136784,-1
216,0.8583917082804283,-1
22926,0.8581084048185399,-1
298,0.8580869445309846,-1
27211,0.8577446739438518,-1
1304,0.8575479623483951,-1
26210,0.8574900623315871,-1
27680,0.857302258430998,-1
