length,duration,src_port,dst_port,src_ip,dst_ip,proto_BROWSER,proto_DNS,proto_HTTP,proto_MDNS,proto_QUIC,proto_SSDP,proto_TCP,proto_TLSv1.2,proto_TLSv1.3,proto_UDP,proto_UDP/XML,euclidean_to_mean,cosine_to_mean
55,0.4953459999999996,62238,443,3232258180,1719953421,False,False,False,False,False,False,True,False,False,False,False,8.011531403904058,-0.09063105112316272
54,0.04813500000000026,443,62238,1719953421,3232258180,False,False,False,False,False,False,True,False,False,False,False,4.7358397412753455,-0.49164868444694754
129,0.28737999999999975,0,0,3232258180,677908210,False,False,False,False,False,False,False,True,False,False,False,6.898835306147559,0.27146599911212443
55,0.038295000000000634,54547,443,3232258180,60907108,False,False,False,False,False,False,True,False,False,False,False,5.857974238772771,0.16727978012113717
223,0.014965999999999369,0,0,677908210,3232258180,False,False,False,False,False,False,False,True,False,False,False,5.821643426949448,-0.26527383515873304
54,0.00011300000000069588,59899,443,3232258180,677908210,False,False,False,False,False,False,True,False,False,False,False,5.653470598330591,0.041537848155028465
66,0.03405399999999936,443,54547,60907108,3232258180,False,False,False,False,False,False,True,False,False,False,False,5.308668797606981,-0.5063855335155767
71,0.3795459999999995,58715,443,3232258180,3232904810,False,False,False,False,False,False,False,False,False,True,False,7.388304255032498,-0.18062650936638247
69,0.05048400000000086,443,58715,3232904810,3232258180,False,False,False,False,False,False,False,False,False,True,False,5.468800413204657,-0.17507915742480457
55,0.46489700000000056,50563,443,3232258180,64931134,False,False,False,False,False,False,True,False,False,False,False,8.02774251408996,0.14769232356709522
55,0.240988999999999,64984,443,3232258180,1745899337,False,False,False,False,False,False,True,False,False,False,False,6.090639606164425,-0.14517635017121644
55,-4.999999999810711e-06,58670,443,3232258180,1745899593,False,False,False,False,False,False,True,False,False,False,False,5.092820682921864,-0.17185824378871706
66,0.006069999999999354,443,64984,1745899337,3232258180,False,False,False,False,False,False,True,False,False,False,False,4.824307490066164,-0.48805263608347155
66,0.0,443,58670,1745899593,3232258180,False,False,False,False,False,False,True,False,False,False,False,4.578277710809553,-0.5058568248764534
66,0.013017000000001389,443,50563,64931134,3232258180,False,False,False,False,False,False,True,False,False,False,False,5.184193450456677,-0.5148331379503489
90,0.021762999999999977,0,0,3232258180,3300925445,False,True,False,False,False,False,False,False,False,False,False,8.680542408134379,-0.13053435918231204
208,0.006076999999999444,0,0,3300925445,3232258180,False,True,False,False,False,False,False,False,False,False,False,8.681673253438303,-0.1207779382596408
66,0.0035330000000008965,59902,443,3232258180,338313560,False,False,False,False,False,False,True,False,False,False,False,5.869521156457469,0.101348005467729
66,0.3421389999999995,443,59902,338313560,3232258180,False,False,False,False,False,False,True,False,False,False,False,6.690664219414494,-0.3805807426115011
